Ts (degC),I (a.u.),P (W),q (slm)
3.445000000000000284e+01,2.304258560451127735e+01,4.154538960166362926e+00,3.244169386304724068e+00
3.921000000000000085e+01,2.943307263007557140e+01,4.073389736879818201e+00,3.320190182773897103e+00
4.124000000000000199e+01,3.042089860263204670e+01,3.753346936574101456e+00,3.375759098302237859e+00
4.157000000000000028e+01,3.057517193458696170e+01,3.311914006417394862e+00,3.527334019684603472e+00
4.207999999999999829e+01,3.108564688007552235e+01,3.230784412841368969e+00,3.553187623885905921e+00
4.239000000000000057e+01,3.096598719699226976e+01,4.324748180078707094e+00,3.616421619721221781e+00
4.279999999999999716e+01,3.066555274774476203e+01,4.328929308419305677e+00,3.613726591485435957e+00
4.311999999999999744e+01,3.080370512669165350e+01,4.328517084498401779e+00,3.611813238105916923e+00
4.335000000000000142e+01,3.082834727217984749e+01,4.314599619740259406e+00,3.618323306311840959e+00
4.347999999999999687e+01,3.056573423759359898e+01,4.307336626848139893e+00,3.621391671792410616e+00
4.386999999999999744e+01,3.099468791353391595e+01,4.313304058845989886e+00,3.617191627788589159e+00
4.422999999999999687e+01,3.058022913420993305e+01,4.272768706623755186e+00,3.636010158283490057e+00
4.456000000000000227e+01,3.106371647105205014e+01,4.292005822932612347e+00,3.625801717996423257e+00
4.472999999999999687e+01,3.089344701466189136e+01,4.236041518242254611e+00,3.650803646608062003e+00
4.482999999999999829e+01,3.075844327217995655e+01,4.260029024496767569e+00,3.640560205954296968e+00
4.524000000000000199e+01,3.046583524586440817e+01,4.268882023940945736e+00,3.636255160850379475e+00
4.547999999999999687e+01,3.064798969624050429e+01,4.268175354362252705e+00,3.634505142515453979e+00
4.563000000000000256e+01,3.037997125601520665e+01,4.254905670051245536e+00,3.641073544665875072e+00
4.585999999999999943e+01,3.066122152481174012e+01,4.260500137549229294e+00,3.636978501762149207e+00
4.589000000000000057e+01,3.088520504398513467e+01,4.243893402449950614e+00,3.645553591603285071e+00
4.621999999999999886e+01,3.065373509548927444e+01,4.220651825195169238e+00,3.655365361067768326e+00
4.631000000000000227e+01,3.080494027255656775e+01,4.234196325453445375e+00,3.649368631573422839e+00
4.642999999999999972e+01,3.102072616804568028e+01,4.221279975931784278e+00,3.652588665309686178e+00
4.667999999999999972e+01,3.147294394774496595e+01,4.181726109235512467e+00,3.664908794387563340e+00
4.681000000000000227e+01,3.139846071014997975e+01,4.098908360554831987e+00,3.690727398222167110e+00
4.675999999999999801e+01,3.137943585037588434e+01,3.897075676995989113e+00,3.035590534359378534e+00
4.682000000000000028e+01,3.042621859924840422e+01,3.897075676995989113e+00,3.035590534359378534e+00
4.731000000000000227e+01,3.007425622969919132e+01,3.984722334464403382e+00,3.016468667353090272e+00
4.764999999999999858e+01,2.999289428082692766e+01,4.021469152556424120e+00,3.008453583379130603e+00
4.788000000000000256e+01,2.957306951541348639e+01,4.024727684502617642e+00,3.007741909256260726e+00
4.813000000000000256e+01,2.986384617518861617e+01,4.337958975258157324e+00,3.706419229292000850e+00
4.838000000000000256e+01,3.049071062368415852e+01,3.059908952582201938e-297,1.147154812776257841e-296
6.932996073283713347e-310,2.506695568973059523e-292,2.390031269474382481e-297,2.506695568973059523e-292
6.932951676570864719e-310,2.239598169476115589e-281,3.824421008164617966e-297,2.239598169476115589e-281
-9.222265700154219278e-197,3.251006345556795328e-297,1.529954475089554974e-297,3.251006345556795328e-297
6.932996073274227287e-310,4.015562149962612246e-297,1.290566518082563041e-297,4.015562149962612246e-297
6.932951676574026739e-310,1.529891771818439159e-297,1.625495880699440848e-297,1.529891771818439159e-297
1.902820986930909231e+76,2.103307895454559245e-297,3.633215707696933501e-297,2.103307895454559245e-297
6.932996073255255166e-310,8.259952359490121617e-296,1.625490047356812808e-297,8.259952359490121617e-296
6.932951676596160880e-310,1.816730347657783932e-297,2.390064808724678451e-297,1.816730347657783932e-297
3.294749493943576300e+170,6.930656271241272642e-298,1.386141461819082926e-297,6.930656271241272642e-298
6.932996072490046294e-310,1.529900520875597933e-297,4.780103368965062220e-297,1.529900520875597933e-297
6.932951676577188759e-310,2.906679893502955610e-296,4.971180347376242329e-297,2.906679893502955610e-296
3.278106153254626731e-290,4.206954104889569904e-297,3.633303202095697840e-297,4.206954104889569904e-297
6.932996072509808920e-310,1.721051867084819126e-297,3.059984778871641198e-297,1.721051867084819126e-297
6.932951676586674820e-310,1.195014905658361658e-297,6.691755367927285641e-298,1.195014905658361658e-297
5.390913640632626115e+101,9.083068437290536941e-298,2.772282922992898507e-297,9.083068437290536941e-298
6.932996073264741226e-310,2.103344351887922472e-297,2.389962732816144958e-297,2.103344351887922472e-297
6.932951676611970981e-310,3.251053006779377766e-297,3.442065821314161587e-297,3.251053006779377766e-297
-7.183385664750681631e-291,1.099449440135712467e-297,1.816623894539428704e-297,1.099449440135712467e-297
6.932996073258417186e-310,2.772269799551768249e-297,1.816667642094829481e-297,2.772269799551768249e-297
6.932951676592998860e-310,4.397949417705400231e-297,6.119782905375618015e-297,4.397949417705400231e-297
-5.475883391653381091e-216,4.435811334736708880e-296,7.649743213073518507e-298,4.435811334736708880e-296
6.932996073280551327e-310,1.721091239989277921e-297,1.051669259339403166e-297,1.721091239989277921e-297
6.932951676608808961e-310,1.032468380017654960e-296,2.963400730063076406e-297,1.032468380017654960e-296
-3.385115644428371554e-299,1.912051847709579752e-296,1.147213580441322404e-297,1.912051847709579752e-296
6.932996073299523448e-310,1.253529841007244331e-293,1.433931849830203714e-297,1.253529841007244331e-293
6.932951676602484920e-310,3.529768164058292735e-290,1.195005426765853114e-297,3.529768164058292735e-290
2.782773606163904055e+45,2.218002499182898811e-296,3.824394760614857701e-297,2.218002499182898811e-296
6.932996072482141243e-310,2.753906973238688800e-296,1.433942057723666803e-297,2.753906973238688800e-296
6.932951679059374564e-310,5.140233129553330417e-295,2.390026895179426853e-297,5.140233129553330417e-295
-3.287371842706528560e+168,1.566831667441944101e-294,2.294491322800918381e-297,1.566831667441944101e-294
6.932996073293199408e-310,1.410123413869898637e-293,2.390041477823980278e-297,1.410123413869898637e-293
6.932951679053050524e-310,3.916314627482835231e-293,1.051667801404255631e-297,3.916314627482835231e-293
1.982151178783538378e-09,4.699314741321808455e-293,1.472020785337165688e-285,4.699314741321808455e-293
