Ts (degC),I (a.u.),P (W),q (slm)
3.542999999999999972e+01,2.152048513383455131e+01,4.134124061226351898e+00,3.260304555352739442e+00
3.586999999999999744e+01,2.471843545563910283e+01,4.043670355153685669e+00,3.344678772673957301e+00
3.927000000000000313e+01,2.969505495187920374e+01,4.135380362699582868e+00,3.259557880863170887e+00
4.145000000000000284e+01,3.098783548195492443e+01,3.711378615483963195e+00,3.392839277251113117e+00
4.203999999999999915e+01,3.075314791278159277e+01,3.169284529784584858e+00,3.574654515460994553e+00
4.259000000000000341e+01,3.100674865300706173e+01,3.122173224538404845e+00,3.587347981783655992e+00
4.282999999999999829e+01,3.084372910864713191e+01,4.315031473371682580e+00,3.619081647590308926e+00
4.332000000000000028e+01,3.059486528421000884e+01,4.320056679264608235e+00,3.616094949632035593e+00
4.371999999999999886e+01,3.085382544060204069e+01,4.315659624108298509e+00,3.616094949632035593e+00
4.386999999999999744e+01,3.054613286691789753e+01,4.294930649799979072e+00,3.626175055241207534e+00
4.427000000000000313e+01,3.051375299248060813e+01,4.301840307902752514e+00,3.621321671059013703e+00
4.452000000000000313e+01,3.069894603308236825e+01,4.292418046853516245e+00,3.625055043506855146e+00
4.457000000000000028e+01,3.074230260939840775e+01,4.278598730647970250e+00,3.631775113912969921e+00
4.485999999999999943e+01,3.086905616879659320e+01,4.275457976964891493e+00,3.633268462892106143e+00
4.485000000000000142e+01,3.065086732330783548e+01,4.258497907076266742e+00,3.640735207787789474e+00
4.495000000000000284e+01,3.043945864022508729e+01,4.271060921808581767e+00,3.634388474626458976e+00
4.515999999999999659e+01,3.068367424285736433e+01,4.276086127701507422e+00,3.631028439423401366e+00
4.520000000000000284e+01,3.068462688195468147e+01,4.261010510022729569e+00,3.638495184319084252e+00
4.552000000000000313e+01,3.085964475150422359e+01,4.259754208549498600e+00,3.638868521563868974e+00
4.577000000000000313e+01,3.090504128947416973e+01,4.236512631294716336e+00,3.649321964417825193e+00
4.588000000000000256e+01,3.068026937932274123e+01,4.220180712142706625e+00,3.656042034823939524e+00
4.609000000000000341e+01,3.090576890864692672e+01,4.241537837187641991e+00,3.646335266459551860e+00
4.643999999999999773e+01,3.095408413571476203e+01,4.210130300356855315e+00,3.657162046558291912e+00
4.646000000000000085e+01,3.099715492030125574e+01,4.191285778258382777e+00,3.661268756250917633e+00
4.650999999999999801e+01,3.049128877706718299e+01,4.183747969418994295e+00,3.663882116964407132e+00
4.636999999999999744e+01,3.025955767406071928e+01,4.230859274665174752e+00,3.649321964417825193e+00
4.646000000000000085e+01,3.082669822105216539e+01,4.017288024215824649e+00,3.009048589613005475e+00
4.671999999999999886e+01,3.041752987368404249e+01,3.937512880665626991e+00,3.026595440117860747e+00
4.710999999999999943e+01,3.030284690864705865e+01,3.987764939594885760e+00,3.015395322774335973e+00
4.731000000000000227e+01,2.962393715827069585e+01,3.994674597697658758e+00,3.013901973795199307e+00
4.767999999999999972e+01,2.987400327894768992e+01,4.082615700823861715e+00,2.994861774311207370e+00
4.785999999999999943e+01,2.989891479135304664e+01,4.039901450733990984e+00,3.004195205430811200e+00
4.821000000000000085e+01,2.998222800789413256e+01,4.308749966005525067e+00,3.707935911848936783e+00
