Ts (degC),I (a.u.),P (W),q (slm)
3.556000000000000227e+01,2.200404473984957221e+01,4.154538960166362926e+00,3.244169386304724068e+00
3.552000000000000313e+01,2.330912581165408426e+01,4.061395983752561278e+00,3.331425300484120111e+00
3.888000000000000256e+01,3.055059548834650940e+01,4.095414272082407159e+00,3.299551633210673351e+00
4.200999999999999801e+01,3.013498204473656372e+01,3.641712772851174229e+00,3.425517952958625933e+00
4.271000000000000085e+01,3.102374669097745752e+01,3.246311513862089271e+00,3.545289207800941256e+00
4.292999999999999972e+01,3.095784213270651009e+01,4.308907003689679271e+00,3.621905010503988720e+00
4.367000000000000171e+01,3.078718340827064637e+01,4.312715167530412508e+00,3.620096658224565722e+00
4.400999999999999801e+01,3.120573360827075149e+01,4.299975485403424003e+00,3.624040032872597905e+00
4.431000000000000227e+01,3.131338018383447164e+01,4.230564829007385619e+00,3.653627009521742242e+00
4.457999999999999829e+01,3.070606126165367655e+01,4.200904336412811801e+00,3.665818803921724545e+00
4.492999999999999972e+01,3.144916574736809523e+01,4.277715393674604627e+00,3.632358453357944938e+00
4.518999999999999773e+01,3.098010432293279592e+01,4.155913039902709549e+00,3.682618979937011261e+00
4.539999999999999858e+01,3.118531920939848945e+01,4.228385931139749587e+00,3.653440340899350325e+00
4.578999999999999915e+01,3.142959394135301920e+01,4.185553902786764979e+00,3.669960513981048500e+00
4.611999999999999744e+01,3.097032170488760983e+01,4.133103316279351347e+00,3.684882336983515305e+00
4.660000000000000142e+01,3.054528041917330938e+01,4.199510626965945903e+00,3.660942086161731446e+00
4.667999999999999972e+01,3.046463787706703030e+01,4.228405560850269751e+00,3.649730302029307705e+00
4.675000000000000000e+01,3.102032540263203231e+01,4.228739265929096547e+00,3.649625300929212113e+00
4.700999999999999801e+01,3.061887671691781421e+01,4.172087921370565056e+00,3.666133807222011320e+00
4.714000000000000057e+01,3.114451012142902897e+01,4.217255885275339899e+00,3.650266974318684632e+00
4.729999999999999716e+01,3.088495867180476040e+01,3.897075676995989113e+00,3.035590534359378534e+00
4.732000000000000028e+01,3.047298989398503011e+01,3.910934252622573659e+00,3.032568836034406967e+00
4.774000000000000199e+01,3.057292994774501693e+01,3.966761149339297354e+00,3.020388708423324076e+00
4.814000000000000057e+01,3.019752444398501368e+01,3.943401793821399437e+00,3.025487095172407770e+00
4.850999999999999801e+01,3.035024398872135976e+01,4.288295807644475488e+00,3.712077621908260738e+00
4.852000000000000313e+01,3.090535007593957673e+01,4.285312091645550936e+00,3.716032663345193221e+00
4.849000000000000199e+01,3.065779530902208805e+01,3.089931724248064526e+01,3.554999999999999716e+01
6.932951503257379188e-310,2.509626088240006747e-298,3.139450068796998394e+01,3.553000000000000114e+01
1.244680781566864495e-159,1.254824892221099213e-298,3.126870798007578145e+01,3.967999999999999972e+01
6.932996072486093769e-310,7.169582692036052151e-298,3.112355370375991015e+01,4.197999999999999687e+01
6.932951503225758987e-310,2.103283105372670989e-297,3.131971030639095943e+01,4.221000000000000085e+01
4.385846284936313905e-152,6.213884292636198055e-298,3.061582170187950780e+01,4.221000000000000085e+01
6.932996073283713347e-310,6.930510446464508976e-298,3.097318783458692337e+01,4.363000000000000256e+01
6.932951501439217611e-310,3.704256380197194194e-298,3.057182291541352726e+01,4.442000000000000171e+01
-9.222265700154219278e-197,1.625440467148560961e-297,3.115440607067674250e+01,4.489999999999999858e+01
6.932996073274227287e-310,5.974939640865646196e-298,3.114161771203052709e+01,4.532999999999999829e+01
6.932951501553050336e-310,6.213811379858449941e-298,3.122823067330777747e+01,4.560000000000000142e+01
1.902820986930909231e+76,3.584681979410237569e-298,3.067813251127811114e+01,4.588000000000000256e+01
6.932996073255255166e-310,3.824388927850738338e-297,3.074985145300732370e+01,4.611999999999999744e+01
6.932951501511944074e-310,6.930634396262011659e-298,3.082251317894767340e+01,4.646999999999999886e+01
3.294749493943576300e+170,6.452777904661318912e-298,3.034884459473644114e+01,4.667999999999999972e+01
6.932996072490046294e-310,4.302545818696279197e-298,3.097597841015001663e+01,4.681000000000000227e+01
6.932951501224200242e-310,5.974917767054578697e-298,3.006494007631622978e+01,4.703000000000000114e+01
3.278106153254626731e-290,1.147223058810941138e-297,3.063071079398510221e+01,4.725999999999999801e+01
6.932996072509808920e-310,4.780431476008884081e-298,2.981144676704080888e-317,4.732000000000000028e+01
6.932951679059374564e-310,4.302556756714366428e-298,2.976860139423345598e-317,4.785000000000000142e+01
