Ts (degC),I (a.u.),P (W),q (slm)
3.567000000000000171e+01,2.268336346804513326e+01,4.169928653213448300e+00,3.665002128698759520e+00
3.943999999999999773e+01,2.859630729624029399e+01,4.117792142074342188e+00,3.712042621541562504e+00
4.163000000000000256e+01,2.978120637593933751e+01,4.329478940313844504e+00,3.593694714944986490e+00
4.186999999999999744e+01,3.049124114511287331e+01,4.304981061585831270e+00,3.637001835339948030e+00
4.196999999999999886e+01,3.012906582744410855e+01,4.330735241787076362e+00,3.399186010412443615e+00
4.224000000000000199e+01,2.950303247443561716e+01,4.349579763885548012e+00,3.379772473683667844e+00
4.317000000000000171e+01,3.018373581428611629e+01,4.193798381204846493e+00,3.652681999620882358e+00
4.342999999999999972e+01,2.959657177894790436e+01,4.154224884798054518e+00,3.430546338974312270e+00
4.353999999999999915e+01,3.010385374097751310e+01,4.164275296583906716e+00,3.404039394594637447e+00
4.381000000000000227e+01,2.992273241127789518e+01,4.139149267119277553e+00,3.431666350708664659e+00
4.411999999999999744e+01,2.999442178834634376e+01,4.132867759753120041e+00,3.426439629281686550e+00
4.470000000000000284e+01,2.968217461428590198e+01,4.114651388391264319e+00,3.434279711422153714e+00
4.489999999999999858e+01,2.975378186729259866e+01,4.097691318502638680e+00,3.426812966526470827e+00
4.510000000000000142e+01,2.950873024172981118e+01,4.085128303770324543e+00,3.433159699687801325e+00
4.532999999999999829e+01,2.945820095000041761e+01,4.084500153033708614e+00,3.423452931323413218e+00
4.543999999999999773e+01,3.008535940263220354e+01,4.075077891984472345e+00,3.424199605812981773e+00
4.564999999999999858e+01,2.920088327481159851e+01,3.866531847428048785e+00,3.595934738413691267e+00
4.581000000000000227e+01,2.971832562556351931e+01,3.743414303051365355e+00,3.551507606284377339e+00
4.586999999999999744e+01,2.937144673533796535e+01,3.862762943008354988e+00,3.582494597601461717e+00
4.592999999999999972e+01,2.946321873007578063e+01,4.051836314729690969e+00,3.427559641016038938e+00
4.631000000000000227e+01,3.003433900902189180e+01,3.866531847428048785e+00,3.571294480257937387e+00
4.647999999999999687e+01,2.990300621203055442e+01,3.825073898811410800e+00,3.606014844022863208e+00
4.671999999999999886e+01,3.023066807217979246e+01,3.821933145128332043e+00,3.601534797085453654e+00
4.711999999999999744e+01,2.981896866127783952e+01,3.797435266400318365e+00,3.622068345548581814e+00
4.724000000000000199e+01,2.940138424022494590e+01,3.808741979659401533e+00,3.414866174693377943e+00
4.721000000000000085e+01,2.939191040864713500e+01,3.819420542181869216e+00,3.389479242048055507e+00
4.720000000000000284e+01,2.951713810300718421e+01,3.820676843655100186e+00,3.388732567558487396e+00
4.738000000000000256e+01,2.985593434323325823e+01,3.816907939235406388e+00,3.396199312454170283e+00
4.752000000000000313e+01,2.951699027969920408e+01,3.794922663453855538e+00,3.419719558875571774e+00
4.753999999999999915e+01,2.961678251014982166e+01,4.095178715556175852e+00,3.498493717525027691e+00
4.746999999999999886e+01,2.987961399473627466e+01,8.422136306762695312e-03,3.010104017067673254e+01
4.097735118036716908e-63,1.682845178571428505e+03,7.282733917236328125e-03,2.980198212067665509e+01
6.900215353881710758e-310,1.680504642857142926e+03,7.885456085205078125e-03,2.897322224022498816e+01
6.900163442858842612e-310,1.874769107142857138e+03,6.857872009277343750e-03,2.949187017217983708e+01
2.622269750950202136e+102,1.940304107142857220e+03,6.932735443115234375e-03,2.936960387142874751e+01
6.900215353872224697e-310,1.996476964285714303e+03,7.121801376342773438e-03,3.000785892706728220e+01
6.900170964536369040e-310,1.834980000000000018e+03,5.657434463500976562e-03,2.933444327631631765e+01
-3.752423889256521836e-64,1.640715535714285807e+03,9.392976760864257812e-03,2.921738692593930153e+01
6.900215353853252576e-310,1.612629107142857038e+03,6.984233856201171875e-03,2.923836469586431974e+01
6.900170968223284516e-310,1.633693928571428614e+03,8.260488510131835938e-03,2.982874470939849232e+01
-6.286157198010812467e+244,1.785828749999999900e+03,6.763219833374023438e-03,2.942549093684201367e+01
6.900215353099901280e-310,1.879450178571428523e+03,7.023572921752929688e-03,9.177579146991000852e-296
6.900163442027231317e-310,2.099460535714285925e+03,8.821487426757812500e-03,9.085267923618799861e-293
5.862894329597031990e+296,2.389686964285714112e+03,7.664918899536132812e-03,3.365836273488541327e-296
6.900215353119663905e-310,2.633102678571428442e+03,7.893800735473632812e-03,7.266775563206542490e-297
6.900170960792537202e-310,2.869496785714285579e+03,7.430553436279296875e-03,9.177425160345215790e-296
-8.564030188787415214e+71,2.839069821428571231e+03,7.271051406860351562e-03,4.229477877357646928e-293
6.900215353862738637e-310,2.169676607142856938e+03,8.644104003906250000e-03,7.343510839783464489e-296
6.900170967053337066e-310,1.757742321428571358e+03,8.451223373413085938e-03,4.129978513936578820e-296
7.202015154657485522e-275,1.551775178571428569e+03,7.732391357421875000e-03,6.119348931384707598e-296
6.900215353856414597e-310,1.502623928571428678e+03,6.568670272827148438e-03,3.365488621433730121e-296
6.900170967173493831e-310,1.535391428571428605e+03,8.070230484008789062e-03,1.835494364463138416e-295
5.683677889767382547e+114,1.528369821428571413e+03,9.659528732299804688e-03,2.570129630866055751e-295
6.900215353878548737e-310,1.502623928571428678e+03,9.209632873535156250e-03,5.813546442649043488e-296
6.900170968356089361e-310,1.540072499999999991e+03,7.380008697509765625e-03,2.600959065867905442e-296
