Ts (degC),I (a.u.),P (W),q (slm)
3.489999999999999858e+01,2.244183496466160932e+01,4.148431603946554524e+00,3.310708200927241496e+00
3.921999999999999886e+01,2.756861830488716691e+01,4.508641219847090653e+00,3.138476407460508710e+00
4.128999999999999915e+01,2.866095371390921898e+01,3.834998989128346913e+00,3.454189293033239849e+00
4.160999999999999943e+01,2.925708076917340250e+01,2.957273938066095731e+00,3.346346058315932570e+00
4.167999999999999972e+01,2.897391865225555208e+01,2.942218647699338163e+00,3.309028434720953538e+00
4.182000000000000028e+01,2.934479747781964676e+01,2.882053695466566534e+00,3.344844296135930151e+00
4.234000000000000341e+01,2.862736825827070675e+01,2.913682123068759289e+00,3.309161165234320912e+00
4.296999999999999886e+01,2.902981228759347587e+01,3.026816438785395746e+00,3.447504187397750552e+00
4.314999999999999858e+01,2.944439753796984149e+01,2.885368027911965783e+00,3.443247776212340128e+00
4.350999999999999801e+01,2.942789552932274688e+01,3.203540591469399068e+00,3.518116554103524418e+00
4.360999999999999943e+01,2.929031309135280026e+01,2.637745302958905746e+00,3.465557981446184765e+00
4.402000000000000313e+01,2.962910604661695047e+01,2.597147762691218276e+00,3.473710475656242913e+00
4.432999999999999829e+01,2.908747487518853703e+01,2.842749716297469753e+00,3.504690261014890673e+00
4.457000000000000028e+01,2.927849708157870268e+01,2.717006532918627038e+00,3.498260989115016262e+00
4.484000000000000341e+01,2.950183839060202828e+01,2.725388530225451245e+00,3.517226566255322595e+00
4.489999999999999858e+01,2.893532691390919709e+01,2.526612045635141079e+00,3.513792105501365892e+00
4.515999999999999659e+01,2.939079680639138559e+01,2.736518687565791641e+00,3.515752476439741425e+00
4.520000000000000284e+01,2.931271489248061002e+01,2.659949948516311391e+00,3.527440678769183435e+00
4.539000000000000057e+01,2.940362129962351645e+01,2.664334719848898470e+00,3.538268336009706250e+00
4.560999999999999943e+01,2.894215470827064607e+01,2.592881668703365783e+00,3.545701232614736131e+00
4.567000000000000171e+01,2.935964715037616557e+01,2.677796850142885710e+00,3.609819807202116593e+00
4.579999999999999716e+01,2.954330447105204627e+01,2.743792774972459103e+00,3.514460324769384414e+00
4.589999999999999858e+01,2.925621353909743405e+01,2.506975418437249914e+00,3.589295182486189617e+00
4.596000000000000085e+01,2.949318415714316544e+01,2.747125275022902713e+00,3.535401864948565454e+00
4.606000000000000227e+01,2.976784643383432183e+01,2.736533415291906746e+00,3.521118080854760635e+00
4.617999999999999972e+01,2.939312584473637813e+01,2.660158775129294106e+00,3.517597409022516164e+00
4.622999999999999687e+01,2.995880951090276056e+01,2.610447575640806761e+00,3.587901719889776242e+00
4.620000000000000284e+01,2.904011557217981121e+01,2.623331070677567212e+00,3.513459704313460552e+00
4.638000000000000256e+01,2.950016470225566323e+01,2.658825234130489878e+00,3.604883879621613829e+00
