Ts (degC),I (a.u.),P (W),q (slm)
3.554999999999999716e+01,2.395301786278199785e+01,3.931319706996806218e+00,3.468676321795118866e+00
4.050999999999999801e+01,2.989587784360850975e+01,4.212559477033611444e+00,3.632340953174595821e+00
4.232000000000000028e+01,3.088469587481162293e+01,3.910801752076568771e+00,3.581768339992467798e+00
4.254999999999999716e+01,3.174718903421026894e+01,4.177706926006697685e+00,3.452106564860597082e+00
4.257000000000000028e+01,3.085804661729271814e+01,4.123327720440768118e+00,3.501535832730573894e+00
4.325000000000000000e+01,3.148153083947422459e+01,4.157154619093051728e+00,3.456423276753413987e+00
4.352000000000000313e+01,3.137711830939855417e+01,4.098883823416683114e+00,3.498003712391248854e+00
4.392000000000000171e+01,3.114252600413486860e+01,3.910733048089751307e+00,3.634636393890573469e+00
4.427000000000000313e+01,3.094310086390919423e+01,3.900010318718615920e+00,3.628388828434888858e+00
4.457999999999999829e+01,3.080377903834640207e+01,3.890396667991817381e+00,3.623223357649632881e+00
4.472999999999999687e+01,3.125547286654136414e+01,3.880419867620412688e+00,3.620551662991646324e+00
4.488000000000000256e+01,3.113819313872147276e+01,3.855264393590004168e+00,3.645763593803476255e+00
4.503000000000000114e+01,3.135530287406071892e+01,3.852388640998935188e+00,3.641925220255538775e+00
4.518999999999999773e+01,3.081803741766860583e+01,4.001898331168739276e+00,3.736846214741909478e+00
4.535999999999999943e+01,3.121345655488771698e+01,3.849498166124977416e+00,3.630019262183594275e+00
4.535000000000000142e+01,3.166095712857167044e+01,3.825549919291502121e+00,3.652644082556959049e+00
4.546999999999999886e+01,3.163824818345921841e+01,3.973999605093267107e+00,3.374738254273531357e+00
4.603000000000000114e+01,3.107372575150427707e+01,3.968915510068783625e+00,3.375298260140707551e+00
4.639000000000000057e+01,3.159978291616494417e+01,3.797665915498919631e+00,3.655108691711979496e+00
4.649000000000000199e+01,3.097398115300735455e+01,3.924621068282115210e+00,3.386515877667581442e+00
4.652000000000000313e+01,3.042535793909735986e+01,3.778674170571552970e+00,3.656607874085565868e+00
4.667999999999999972e+01,3.113692185827084558e+01,3.798671938163030504e+00,3.629024668429911671e+00
4.678999999999999915e+01,3.139725841390930228e+01,3.928316361287362390e+00,3.367038173599858020e+00
4.702000000000000313e+01,3.139923267631630566e+01,4.349741708997331813e+00,3.450779467623278585e+00
4.707999999999999829e+01,3.144315919360852973e+01,4.337944252975267645e+00,3.453961584295618170e+00
4.725999999999999801e+01,3.117350976954883635e+01,4.331495893069696734e+00,3.455702852538869330e+00
4.735000000000000142e+01,3.166496314022527869e+01,4.343293349091760902e+00,3.452520735866529300e+00
4.732000000000000028e+01,3.165610688157851982e+01,4.300628173278189692e+00,3.464030023115890700e+00
4.732000000000000028e+01,3.174487149323325141e+01,3.735096213218836780e+00,3.526581511800585211e+00
