Ts (degC),I (a.u.),P (W),q (slm)
3.314999999999999858e+01,2.328794437406006068e+01,3.931319706996806218e+00,3.468676321795118866e+00
3.617000000000000171e+01,2.889061200563862997e+01,3.929283124530434712e+00,3.479733520974624295e+00
3.900999999999999801e+01,3.072458023721842224e+01,4.130595620760518116e+00,3.724756504744797692e+00
3.921999999999999886e+01,3.078294416428604308e+01,4.345423172683098301e+00,3.415592432302371861e+00
3.940999999999999659e+01,3.071128270939851035e+01,4.289174237190211514e+00,3.431540932727995319e+00
4.000000000000000000e+01,3.118644595150423626e+01,4.252859272729614837e+00,3.437394744058321461e+00
4.042000000000000171e+01,3.086777010601529980e+01,4.045014990324253823e+00,3.723438157599153531e+00
4.072999999999999687e+01,3.122899771203055863e+01,3.983539644405619029e+00,3.725328177400873297e+00
4.124000000000000199e+01,3.114996808646556659e+01,3.868254354526112770e+00,3.385535867400022880e+00
4.167999999999999972e+01,3.148309776654145509e+01,3.757508435204180763e+00,3.409053197124199741e+00
4.211999999999999744e+01,3.181981134060212568e+01,4.258159294569809461e+00,3.457006616198389004e+00
4.246000000000000085e+01,3.119241472819493310e+01,4.141887611736711605e+00,3.499082890364452858e+00
4.282999999999999829e+01,3.094702967894779633e+01,4.149533383983956547e+00,3.471919689109181029e+00
4.318999999999999773e+01,3.111062244924832143e+01,4.140724551388446528e+00,3.464692113385937855e+00
4.342000000000000171e+01,3.106413530375981225e+01,4.116398432627476289e+00,3.478205171628788950e+00
4.384000000000000341e+01,3.067511034586437546e+01,4.106770059617788071e+00,3.479126847951850010e+00
4.413000000000000256e+01,3.095476576541393499e+01,4.101097073277727212e+00,3.465281286225362578e+00
4.431000000000000227e+01,3.021777459473647909e+01,3.896908824456575715e+00,3.621811676192792540e+00
4.478000000000000114e+01,3.048323733420991033e+01,4.095615476615229511e+00,3.448661945438018073e+00
4.503000000000000114e+01,3.085565023721855837e+01,3.883020804264211812e+00,3.607050271537694641e+00
4.527000000000000313e+01,3.094212358759343573e+01,3.855990692879216475e+00,3.629645924938809998e+00
4.532999999999999829e+01,3.115458345864702139e+01,3.840654981536058443e+00,3.637500590565402092e+00
4.552000000000000313e+01,3.132294927932272799e+01,3.829348268276975276e+00,3.649208213226054820e+00
4.565999999999999659e+01,3.121049680375986313e+01,3.978774532177072665e+00,3.359915598976710882e+00
4.567999999999999972e+01,3.109689130639133481e+01,3.976207947526682052e+00,3.738479565187840414e+00
4.592000000000000171e+01,3.138144460488774001e+01,3.814184316900861127e+00,3.651276151558492167e+00
4.589000000000000057e+01,3.129788008872148097e+01,3.956568422152180631e+00,3.368633606981865647e+00
4.589000000000000057e+01,3.151182312030105592e+01,3.961333534380726995e+00,3.363937724449814759e+00
4.600000000000000000e+01,3.143750577330758844e+01,3.952956555416640150e+00,3.374863672254201141e+00
4.627000000000000313e+01,3.113492952857178153e+01,3.950389970766249537e+00,3.372644065666070112e+00
4.642999999999999972e+01,3.088424583496276910e+01,3.948799964214190883e+00,3.361064777683311799e+00
4.660000000000000142e+01,3.132961775300699614e+01,3.764516241859550139e+00,3.435131387011817417e+00
4.688000000000000256e+01,3.137101484924829720e+01,4.364601399860397635e+00,3.446769008939073675e+00
4.682999999999999829e+01,3.086154017481176837e+01,4.347214383767979307e+00,3.451459058076674413e+00
4.682000000000000028e+01,3.174585533947420757e+01,3.746025054550424116e+00,3.440118939266355813e+00
4.675999999999999801e+01,3.112659065150432980e+01,4.321190295047094843e+00,3.458482464994176553e+00
4.689000000000000057e+01,3.129897726616488640e+01,4.372247172107642577e+00,3.444706904001086034e+00
4.700000000000000000e+01,3.126926149624038587e+01,4.352298478792462788e+00,3.450091127078207531e+00
4.710999999999999943e+01,3.118282099548930830e+01,3.781029735833862038e+00,3.510472593027594179e+00
4.724000000000000199e+01,3.106966389548915686e+01,3.704174355881065156e-298,1.672996259998842389e-298
-1.133565014795221010e+274,2.270679614189593740e-298,4.063663143242950958e-298,2.270679614189593740e-298
6.933013803670511716e-310,1.242763733995833857e-297,2.151223694135439204e-298,1.242763733995833857e-297
6.932969407352125099e-310,1.147139647011049211e-296,9.083075722849851480e-298,1.147139647011049211e-296
9.141172058409153766e+263,7.649721346494016591e-298,2.270741589283019097e-298,7.649721346494016591e-298
6.933013803690274342e-310,5.974888602232696104e-298,2.294475282399218406e-297,5.974888602232696104e-298
